time, distance_1, distance_2

0.004381418228149414,2,2

0.10883784294128418,3,2

0.21334195137023926,3,2

0.31778383255004883,2,2

0.4221816062927246,2,2

0.5274195671081543,2,2

0.6330950260162354,2,2

0.738806962966919,2,1

0.8444888591766357,2,2

0.9501388072967529,3,2

1.0557916164398193,2,2

1.161487340927124,3,2

1.2671477794647217,3,2

1.3728125095367432,2,2

1.4785265922546387,2,3

1.584172248840332,1,3

1.6898114681243896,2,3

1.7957847118377686,2,2

1.9014673233032227,2,3

2.007127285003662,2,3

2.112748861312866,2,3

2.218413829803467,2,3

2.324096918106079,255,2

2.429792642593384,3,3

2.5355494022369385,3,3

2.6413094997406006,2,3

2.7470057010650635,2,3

2.8527302742004395,2,3

2.958488702774048,2,3

3.0641891956329346,2,2

3.169926643371582,2,2

3.275709867477417,2,2

3.3814194202423096,2,2

3.4871041774749756,2,1

3.5927984714508057,2,2

3.69852352142334,2,2

3.8042664527893066,2,3

3.9099888801574707,1,3

4.015682935714722,3,3

4.121410369873047,3,3

4.227120637893677,3,3

4.332778215408325,3,3

4.438659906387329,1,3

4.544342279434204,2,2

4.650025367736816,2,1

4.755664825439453,2,2

4.861334800720215,2,2

4.967010021209717,2,3

5.0727057456970215,2,3

5.178364276885986,2,2

5.284019708633423,2,3

5.389742612838745,2,3

5.495436906814575,2,3

5.601142406463623,2,3

5.706910610198975,2,2

5.812584161758423,3,3

5.918330907821655,2,3

6.024042367935181,3,3

6.12971305847168,3,3

6.235377311706543,3,2

6.341044664382935,2,3

6.4467689990997314,3,3

6.552412986755371,2,3

6.65816330909729,2,3

6.76381778717041,2,2

6.8695690631866455,2,3

6.975368499755859,2,3

7.08113694190979,2,3

7.1869118213653564,3,3

7.292654514312744,3,3

7.398477554321289,4,3

7.504241466522217,3,3

7.609963655471802,3,2

7.715702295303345,2,2

7.821425676345825,3,2

7.927170276641846,3,2

8.032874584197998,4,2

8.138622999191284,5,2

8.244418859481812,5,2

8.35019063949585,4,3

8.45596981048584,6,3

8.561712503433228,4,3

8.667540311813354,5,3

8.773289442062378,5,3

8.879079580307007,4,3

8.984878063201904,3,2

9.090656518936157,2,3

9.196434736251831,1,3

9.302209377288818,3,2

9.407970190048218,3,1

9.513761758804321,3,2

9.619546890258789,3,2

9.72520136833191,3,2

9.830857992172241,2,2

9.936590671539307,4,2

10.072012662887573,483,2

10.177987337112427,8,2

10.284539699554443,8,2

10.390986204147339,10,2

10.496724843978882,6,2

10.602386951446533,3,2

10.708081722259521,2,2

10.813755512237549,3,1

10.919453144073486,3,2

11.025161504745483,3,2

11.13081407546997,3,2

11.236519813537598,3,2

11.342186212539673,3,1

11.447856426239014,3,2

11.553591251373291,3,2

11.659347534179688,2,2

11.76500415802002,2,2

11.871449708938599,9,2

11.977108478546143,2,2

12.082772731781006,2,1

12.188414812088013,2,2

12.294110298156738,2,2

12.399830102920532,2,2

12.50551438331604,3,2

12.611201286315918,1,1

12.716862201690674,4,2

12.822522163391113,4,2

12.928266286849976,3,1

13.033956527709961,1,2

13.139638900756836,2,1

13.245301723480225,1,2

13.350969314575195,1,2

13.45803689956665,1,2

13.563716888427734,1,2

13.669506549835205,2,2

13.775173425674438,2,2

13.880825757980347,1,2

13.986542463302612,3,2

14.09220552444458,5,2

14.197944402694702,3,2

14.303633213043213,2,2

14.409364223480225,1,2

14.515011310577393,1,2

14.620736122131348,1,2

14.72639274597168,1,2

14.832048416137695,1,2

14.937705516815186,1,2

15.043440341949463,1,2

15.149173259735107,1,2

15.254836797714233,2,2

15.36060094833374,1,2

15.4662504196167,0,2

15.571999073028564,1,2

15.677756786346436,3,1

15.78343939781189,3,2

15.889208793640137,4,2

15.994879961013794,5,2

16.100536823272705,7,2

16.20701003074646,9,2

16.313450574874878,9,2

16.419958114624023,12,2

16.526411533355713,14,2

16.63285541534424,18,2

16.74012541770935,26,4

16.848161935806274,30,8

16.984496116638184,485,12

17.121411085128784,483,18

17.228827714920044,24,12

17.33605170249939,21,11

17.443307161331177,17,11

17.550567865371704,13,12

17.657803297042847,11,8

17.764248371124268,6,7

17.869959354400635,4,8

17.975619792938232,2,7

18.081271171569824,2,6

18.186924695968628,2,6

18.32241988182068,485,7

18.458040475845337,483,7

18.593538999557495,484,7

18.729098320007324,484,7

18.864514350891113,483,5

18.999656200408936,484,7

19.105644702911377,6,6

19.21135663986206,5,6

19.346542358398438,483,7

19.482229948043823,482,7

19.61775040626526,484,7

19.752986907958984,483,7

19.888744592666626,482,7

20.024840593338013,484,7

20.16010069847107,485,6

20.29594373703003,482,7

20.431684255599976,482,7

20.537591457366943,3,8

20.644010066986084,3,8

20.74972939491272,3,7

20.855380296707153,3,7

20.961023330688477,3,7

21.067450046539307,2,8

21.173168420791626,3,7

21.278807401657104,2,8

21.384438514709473,3,7

21.49083399772644,3,8

21.596558332443237,3,7

21.7030291557312,3,8

21.808674335479736,3,7

21.914301872253418,3,7

22.019927740097046,3,7

22.126340627670288,2,7

22.231979608535767,3,7

22.337602138519287,3,7

22.443297624588013,3,7

22.549745559692383,3,8

22.65548276901245,3,6

22.76193356513977,3,7

22.867598295211792,3,7

22.973247051239014,3,7

23.07897925376892,3,7

23.184637308120728,2,7

23.290271520614624,3,8

23.395971059799194,3,7

23.50162100791931,2,8

23.6072895526886,3,7

23.71370553970337,2,7

23.819417476654053,3,7

23.925042152404785,3,7

24.03067135810852,3,7

24.137069940567017,3,8

24.243457078933716,2,7

24.34912347793579,3,8

24.45550799369812,3,8

24.561924934387207,7,8

24.668351411819458,7,9

24.774763822555542,7,9

24.881186962127686,7,9

25.017096757888794,484,10

25.123026847839355,4,10

25.230214834213257,8,9

25.33664560317993,7,9

25.44382095336914,9,9

25.550349712371826,6,9

25.65679097175598,4,9

25.76322078704834,3,8

25.86970829963684,3,8

25.976176261901855,3,9

26.082573175430298,1,9

26.18901538848877,2,9

26.2954421043396,2,9

26.401923418045044,3,8

26.508326292037964,3,8

26.61478352546692,3,9

26.721198081970215,2,9

26.827613353729248,3,10

26.93402409553528,3,10

27.040422677993774,3,8

27.146838426589966,3,9

27.253244161605835,3,10

27.35965585708618,2,10

27.46605944633484,3,10

27.57245421409607,3,10

27.678892850875854,3,9

27.78528881072998,3,9

27.891706466674805,3,10

27.998153686523438,3,10

28.104669332504272,3,10

28.211076974868774,3,10

28.317489624023438,3,10

28.423991203308105,3,9

28.530431509017944,3,10

28.636860370635986,2,10

28.743263483047485,3,10

28.84979796409607,3,10

28.956376791000366,3,9

29.062946557998657,3,10

29.16951036453247,2,255

29.27596879005432,3,10

29.382537364959717,3,10

29.489067316055298,3,9

29.59551429748535,3,10

29.702025175094604,2,10

29.808566093444824,3,10

29.915015697479248,3,10

30.021424531936646,255,9

30.1278293132782,3,9

30.2342426776886,3,10

30.340656280517578,2,10

30.44705605506897,3,9

30.55346131324768,3,10

30.660664558410645,11,9

30.767067909240723,2,10

30.873480558395386,1,9

30.979955673217773,6,9

31.085636138916016,1,7

31.19129228591919,3,8

31.29770517349243,4,9

31.404097080230713,6,9

31.510508060455322,8,10

31.61771321296692,13,10

31.72488808631897,17,10

31.832104682922363,15,12

31.93927001953125,17,13

32.047258615493774,23,12

32.15523648262024,25,14

32.26318597793579,27,13

32.372334003448486,31,13

32.48118019104004,34,15

32.58996796607971,38,11

32.7553186416626,484,488

32.8905029296875,484,5

32.99791479110718,31,4

33.10522127151489,25,3

33.21238589286804,22,2

33.318806171417236,12,2

33.42444658279419,7,2

33.53006601333618,6,2

33.63569188117981,2,2

33.74132776260376,2,1

33.84712481498718,0,2

33.983009576797485,484,2

34.11864924430847,483,2

34.22436571121216,1,2

34.33001232147217,1,1

34.43570303916931,3,2

34.54158043861389,2,2

34.647377252578735,1,2

34.7529981136322,0,2

34.85862922668457,1,2

34.96424460411072,2,2

35.06986737251282,4,2

35.17552185058594,2,2

35.28114461898804,4,2

35.386849880218506,4,2

35.49250769615173,4,3

35.59829878807068,4,3

35.70396280288696,4,2

35.80958962440491,3,2

35.91527724266052,3,1

36.02093982696533,3,2

36.12658882141113,3,2

36.23220348358154,2,2

36.337815046310425,3,2

36.443443298339844,3,2

36.54907536506653,3,2

36.65473484992981,2,2

36.76034998893738,2,2

36.86605739593506,2,1

36.97176194190979,2,2

37.077502489089966,2,2

37.18315315246582,2,2

37.288787603378296,2,2

37.39449691772461,2,1

37.50014019012451,2,2

37.60578203201294,2,2

37.71142816543579,1,2

37.81705188751221,2,2

37.922688484191895,2,2

38.02841544151306,2,2

38.134050130844116,2,2

38.239670276641846,2,2

38.34529948234558,2,2

38.4509379863739,2,2

38.55671167373657,2,2

38.662349700927734,2,2

38.76804327964783,2,2

38.873918771743774,2,2

38.97964119911194,2,2

39.08532190322876,2,2

39.191077709198,2,2

39.29675602912903,2,2

39.40246510505676,2,2

39.508219480514526,2,1

39.61409139633179,2,2

39.719817876815796,2,2

39.82548451423645,2,2

39.93112778663635,1,2

40.03684425354004,2,2

40.142478942871094,2,2

40.2482476234436,2,2

40.353997468948364,2,2

40.4596529006958,1,2

40.56536030769348,2,2

40.671027183532715,2,2

40.77700233459473,2,2

40.88356256484985,2,2

40.99027609825134,2,2

41.096861362457275,2,2

41.20326900482178,2,2

41.30969214439392,2,2

41.416088342666626,2,2

41.52249813079834,2,2

41.62891674041748,2,2

41.73530960083008,2,2

41.84171748161316,2,2

41.94817924499512,2,2

42.0545756816864,2,2

42.1609320640564,2,2

42.267372846603394,1,2

42.373780965805054,2,3

42.48110342025757,1,12

42.58830547332764,1,14

42.69557452201843,2,9

42.802733182907104,3,14

42.90999436378479,2,14

43.01719784736633,3,15

43.12437582015991,6,14

43.2315731048584,6,9

43.33801770210266,8,2

43.44522166252136,12,1

43.55239224433899,18,2

43.66039180755615,23,3

43.796955823898315,484,5

43.90581202507019,32,9

44.01446604728699,33,15

44.123191595077515,31,15

44.23195219039917,26,13

44.33916211128235,20,13

44.44635772705078,18,12

44.55356049537659,13,10

44.66079926490784,10,10

44.76724052429199,7,8

44.87371468544006,4,9

44.98012018203735,2,9

45.087358236312866,10,8

45.19376826286316,2,8

45.299501180648804,5,7

45.40513205528259,3,7

45.54043221473694,484,7

45.646068811416626,3,7

45.751710176467896,4,8

45.886956214904785,484,8

45.992886543273926,4,7

46.12833905220032,484,7

46.23402118682861,6,8

46.340516090393066,6,8

46.47578001022339,485,7

46.581740379333496,5,8

46.68830990791321,5,8

46.79485535621643,5,7

46.90130138397217,5,8

47.00771379470825,2,8

47.11333394050598,3,8

47.21974277496338,2,8

47.32614278793335,3,8

47.43254017829895,3,8

47.53895926475525,3,8

47.645368337631226,3,7

47.751771211624146,3,7

47.85819602012634,3,8

47.96385335922241,3,8

48.069584131240845,3,8

48.176114559173584,3,7

48.28257203102112,3,8

48.38900279998779,3,8

48.494762897491455,3,8

48.60037302970886,2,8

48.70676279067993,3,8

48.81320095062256,3,8

48.919593811035156,3,8

49.025986671447754,3,8

49.132423400878906,3,8

49.23887848854065,2,7

49.344494104385376,2,7

49.450119733810425,3,7

49.555739879608154,3,8

49.66137981414795,2,8

49.76700782775879,2,8

49.87270259857178,2,6

49.97834658622742,2,8

50.08396100997925,3,8

50.18960523605347,2,8

50.29522967338562,2,7

50.4016318321228,3,7

50.50730586051941,3,7

50.61292552947998,3,8

50.71854829788208,255,8

50.82494258880615,2,8

50.9305853843689,3,8

51.03619933128357,3,8

51.14190340042114,3,7

51.24833917617798,3,8

51.35398483276367,3,7

51.45962071418762,3,8

51.565245151519775,3,7

51.67165780067444,2,7
